"Y" "N"
62 107
33 59
658 1550
14 61
57 153
218 451
10 19
106 239
65 105
13 29
132 298
35 56
70 104
13 24
4 6
10 43
74 214
54 109
54 109
183 355
119 245
40 84
18 29
39 75
106 190
1 2
55 111
88 204
8 14
12 19
37 88
15 26
11 20
53 76
2 6
0 47
0 26
1 4
21 38
76 159
0 85
7 15
16 41
1 4
41 70
77 154
128 267
245 477
33 54
13 25
21 41
138 282
2 6
155 289
24 34
50 93
9 27
19 35
11 31
39 81
41 103
43 97
28 59
22 78
499 959
6 15
9 18
1 1
2 2
5 38
32 45
61 86
4 9
7 16
0 1
21 34
126 241
2 2
12 17
0 9
5 26
1 4
12 16
57 97
189 437
10 20
32 61
3 6
0 51
2 2
2 3
1 101
1 3
2 5
2 5
102 178
9 22
11 25
0 2
95 179
89 168
0 41
2 3
0 1
10 73
1 2
17 33
1 4
57 120
0 1
71 210
38 63
55 122
16 43
1 13
194 292
43 73
2 5
34 63
88 183
137 284
172 297
4 15
39 84
179 378
108 187
15 40
84 135
25 28
242 442
10 23
31 68
23 49
4 6
126 279
113 221
46 102
295 541
13 25
28 47
148 289
11 22
2 3
3 6
149 262
33 70
142 256
50 118
62 137
17 53
33 72
39 73
3 4
13 16
47 90
3 5
41 90
12 31
23 54
18 32
19 48
165 313
317 725
55 147
12 21
33 65
70 145
125 266
35 70
17 26
123 250
19 40
7 26
115 249
38 94
20 44
14 19
205 366
12 33
7 22
4 7
40 81
10 30
0 2
3 5
29 32
2 2
31 101
8 8
4 9
27 50
32 54
9 10
1 2
3 3
37 88
1 2
4 8
21 43
72 132
64 158
47 81
1 3
24 47
2 2
12 44
24 51
1 2
88 166
17 34
28 54
21 34
13 25
19 42
19 42
12 20
2 4
23 53
36 62
9 21
39 62
13 27
9 17
16 29
12 19
61 121
123 324
93 258
14 30
10 19
6 17
8 19
34 102
1 6
2 8
30 67
154 285
237 413
25 49
21 36
242 486
8 15
132 270
8 14
7 14
32 57
103 208
58 128
6 14
6 14
28 129
28 129
62 120
224 411
2 5
13 25
2 12
6 15
2 4
2 9
13 23
3 6
39 67
1 3
4 17
43 74
228 412
30 94
36 78
26 50
1 1
40 65
90 161
8 15
144 254
40 86
6 24
0 71
2 3
4 8
34 52
5 7
191 336
19 33
20 42
15 35
0 2
33 51
119 219
97 195
4 7
28 56
14 41
13 44
3 11
8 15
38 97
7 26
34 62
59 102
29 44
6 9
89 185
82 150
1 2
32 70
149 346
2 4
2 7
55 102
17 47
85 174
3 5
149 256
45 87
21 38
13 28
2 2
75 168
178 341
